Player,Nation,Pos,Gls,Ast,MP,CrdY,CrdR,Squad
Conor Chaplin,ENG,"MF,FW",1.0,1.0,22,2.0,0.0,Ipswich Town
Nathan Broadhead,WAL,"MF,FW",2.0,0.0,18,1.0,0.0,Ipswich Town
Christian Walton,ENG,GK,0.0,0.0,7,0.0,0.0,Ipswich Town
George Hirst,SCO,FW,3.0,1.0,26,3.0,0.0,Ipswich Town
Jaden Philogene Bidace,ENG,"FW,DF",2.0,0.0,10,1.0,0.0,Ipswich Town
Jack Taylor,IRL,MF,1.0,0.0,32,4.0,0.0,Ipswich Town
Harry Clarke,ENG,DF,0.0,0.0,7,3.0,1.0,Ipswich Town
Conor Townsend,ENG,DF,0.0,1.0,6,1.0,0.0,Ipswich Town
Chiedozie Ogbene,IRL,FW,0.0,0.0,5,0.0,0.0,Ipswich Town
Massimo Luongo,AUS,MF,0.0,0.0,11,0.0,0.0,Ipswich Town
Ben Godfrey,ENG,DF,0.0,0.0,3,1.0,0.0,Ipswich Town
Ali Al Hamadi,IRQ,FW,0.0,0.0,11,3.0,0.0,Ipswich Town
Marcus Harness,ENG,MF,0.0,0.0,2,0.0,0.0,Ipswich Town
George Edmundson,ENG,DF,0.0,0.0,1,0.0,0.0,Ipswich Town
Somto Boniface,ENG,DF,0.0,0.0,0,0.0,0.0,Ipswich Town
Cieran Slicker,SCO,GK,0.0,0.0,0,0.0,0.0,Ipswich Town
Tom Taylor,Inconnu,MF,0.0,0.0,0,0.0,0.0,Ipswich Town
Jamie Vardy,ENG,FW,9.0,4.0,35,5.0,0.0,Leicester City
James Justin,ENG,DF,2.0,2.0,36,6.0,0.0,Leicester City
Wout Faes,BEL,DF,1.0,0.0,34,4.0,0.0,Leicester City
Victor Bernth Kristiansen,DEN,DF,0.0,1.0,30,1.0,0.0,Leicester City
Wilfred Ndidi,NGA,MF,0.0,5.0,28,8.0,0.0,Leicester City
Mads Hermansen,DEN,GK,0.0,0.0,27,1.0,0.0,Leicester City
Bilal El Khannouss,MAR,"MF,FW",2.0,3.0,32,4.0,0.0,Leicester City
Boubakary Soumaré,FRA,MF,0.0,0.0,31,8.0,0.0,Leicester City
Conor Coady,ENG,DF,1.0,0.0,22,3.0,0.0,Leicester City
Jordan Ayew,GHA,"FW,MF",5.0,0.0,30,5.0,0.0,Leicester City
Harry Winks,ENG,MF,0.0,2.0,22,4.0,0.0,Leicester City
Stephy Mavididi,ENG,FW,4.0,1.0,30,2.0,0.0,Leicester City
Jannik Vestergaard,DEN,DF,0.0,0.0,18,5.0,0.0,Leicester City
Facundo Buonanotte,ARG,"FW,MF",5.0,2.0,31,8.0,0.0,Leicester City
Luke Thomas,ENG,DF,0.0,0.0,14,3.0,0.0,Leicester City
Caleb Okoli,ITA,DF,1.0,0.0,19,4.0,0.0,Leicester City
Oliver Skipp,ENG,MF,0.0,0.0,24,8.0,0.0,Leicester City
Jakub Stolarczyk,POL,GK,0.0,0.0,10,1.0,0.0,Leicester City
Kasey McAteer,IRL,FW,1.0,1.0,18,3.0,0.0,Leicester City
Bobby De Cordova-Reid,JAM,FW,1.0,2.0,23,2.0,0.0,Leicester City
Patson Daka,ZAM,"FW,MF",1.0,0.0,23,0.0,0.0,Leicester City
Abdul Fatawu Issahaku,GHA,FW,0.0,2.0,11,0.0,0.0,Leicester City
Ricardo Pereira,POR,DF,0.0,0.0,10,1.0,0.0,Leicester City
Danny Ward,WAL,GK,0.0,0.0,2,0.0,0.0,Leicester City
Hamza Choudhury,BAN,"MF,DF",0.0,0.0,4,0.0,0.0,Leicester City
Woyo Coulibaly,MLI,DF,0.0,0.0,4,1.0,0.0,Leicester City
Jeremy Monga,Inconnu,"FW,MF",0.0,0.0,7,0.0,0.0,Leicester City
Odsonne Édouard,FRA,FW,0.0,0.0,4,0.0,0.0,Leicester City
Jake Evans,Inconnu,FW,0.0,0.0,4,0.0,0.0,Leicester City
Olabade Aluko,Inconnu,DF,0.0,0.0,1,0.0,0.0,Leicester City
Will Alves,ENG,FW,0.0,0.0,1,0.0,0.0,Leicester City
Michael Golding,ENG,MF,0.0,0.0,1,0.0,0.0,Leicester City
Sammy Braybrooke,ENG,MF,0.0,0.0,0,0.0,0.0,Leicester City
Thomas Cannon,IRL,FW,0.0,0.0,0,0.0,0.0,Leicester City
Henry Cartwright,ENG,MF,0.0,0.0,0,0.0,0.0,Leicester City
Daniel Iversen,DEN,GK,0.0,0.0,0,0.0,0.0,Leicester City
Benjamin Nelson,ENG,DF,0.0,0.0,0,0.0,0.0,Leicester City
Thomas Wilson-Brown,ENG,DF,0.0,0.0,0,0.0,0.0,Leicester City
Mohamed Salah,EGY,FW,29.0,18.0,38,1.0,0.0,Liverpool
Virgil van Dijk,NED,DF,3.0,1.0,37,5.0,0.0,Liverpool
Ryan Gravenberch,NED,MF,0.0,4.0,37,6.0,1.0,Liverpool
Alexis Mac Allister,ARG,MF,5.0,5.0,35,6.0,0.0,Liverpool
Ibrahima Konaté,FRA,DF,1.0,2.0,31,5.0,0.0,Liverpool
Dominik Szoboszlai,HUN,MF,6.0,6.0,36,6.0,0.0,Liverpool
Andrew Robertson,SCO,DF,0.0,1.0,33,3.0,1.0,Liverpool
Alisson,BRA,GK,0.0,0.0,28,0.0,0.0,Liverpool
Luis Díaz,COL,FW,13.0,5.0,36,2.0,0.0,Liverpool
Trent Alexander-Arnold,ENG,DF,3.0,6.0,33,5.0,0.0,Liverpool
Cody Gakpo,NED,FW,10.0,4.0,35,5.0,0.0,Liverpool
Curtis Jones,ENG,"MF,DF",3.0,3.0,33,3.0,1.0,Liverpool
Diogo Jota,POR,FW,6.0,3.0,26,2.0,0.0,Liverpool
Caoimhín Kelleher,IRL,GK,0.0,0.0,10,0.0,0.0,Liverpool
Kostas Tsimikas,GRE,DF,0.0,1.0,18,2.0,0.0,Liverpool
Darwin Núñez,URU,FW,5.0,2.0,30,8.0,0.0,Liverpool
Conor Bradley,NIR,DF,0.0,2.0,19,4.0,0.0,Liverpool
Joe Gomez,ENG,DF,0.0,0.0,9,1.0,0.0,Liverpool
Jarell Quansah,ENG,DF,0.0,0.0,13,2.0,0.0,Liverpool
Harvey Elliott,ENG,MF,1.0,2.0,18,1.0,0.0,Liverpool
Wataru Endo,JPN,"MF,DF",0.0,0.0,20,0.0,0.0,Liverpool
Federico Chiesa,ITA,FW,0.0,0.0,6,0.0,0.0,Liverpool
Vitezslav Jaros,CZE,GK,0.0,0.0,1,0.0,0.0,Liverpool
Jayden Danns,ENG,MF,0.0,0.0,1,0.0,0.0,Liverpool
Harvey Davies,ENG,GK,0.0,0.0,0,0.0,0.0,Liverpool
James McConnell,ENG,MF,0.0,0.0,0,0.0,0.0,Liverpool
Tyler Morton,ENG,MF,0.0,0.0,0,0.0,0.0,Liverpool
Amara Nallo,ENG,DF,0.0,0.0,0,0.0,0.0,Liverpool
Trey Nyoni,ENG,MF,0.0,0.0,0,0.0,0.0,Liverpool
Joško Gvardiol,CRO,DF,5.0,0.0,37,2.0,0.0,Manchester City
Erling Haaland,NOR,FW,22.0,3.0,31,2.0,0.0,Manchester City
Bernardo Silva,POR,"MF,FW",4.0,4.0,33,7.0,0.0,Manchester City
Ederson,BRA,GK,0.0,4.0,26,4.0,0.0,Manchester City
Rúben Dias,POR,DF,0.0,0.0,27,4.0,0.0,Manchester City
İlkay Gündoğan,GER,MF,1.0,6.0,33,1.0,0.0,Manchester City
Mateo Kovačić,CRO,MF,6.0,2.0,31,5.0,1.0,Manchester City
Manuel Akanji,SUI,DF,0.0,0.0,26,3.0,0.0,Manchester City
Rico Lewis,ENG,"DF,MF",1.0,2.0,28,5.0,1.0,Manchester City
Sávio,BRA,"FW,MF",1.0,8.0,29,3.0,0.0,Manchester City
Phil Foden,ENG,"MF,FW",7.0,2.0,28,2.0,0.0,Manchester City
Kevin De Bruyne,BEL,"MF,FW",4.0,7.0,28,2.0,0.0,Manchester City
Matheus Nunes,POR,"DF,MF",1.0,6.0,26,4.0,0.0,Manchester City
Jeremy Doku,BEL,"FW,MF",3.0,6.0,29,1.0,0.0,Manchester City
Omar Marmoush,EGY,"FW,MF",7.0,0.0,16,0.0,0.0,Manchester City
Stefan Ortega,GER,GK,0.0,0.0,13,1.0,0.0,Manchester City
Kyle Walker,ENG,DF,0.0,0.0,15,3.0,0.0,Manchester City
Nicolás González,ESP,MF,1.0,0.0,11,3.0,0.0,Manchester City
Nathan Aké,NED,DF,0.0,0.0,10,0.0,0.0,Manchester City
Jack Grealish,ENG,"FW,MF",1.0,1.0,20,3.0,0.0,Manchester City
John Stones,ENG,"DF,MF",2.0,0.0,11,1.0,0.0,Manchester City
Nico O’Reilly,ENG,DF,2.0,0.0,9,0.0,0.0,Manchester City
Abdukodir Khusanov,UZB,DF,0.0,0.0,6,1.0,0.0,Manchester City
James Mcatee,ENG,"MF,FW",3.0,0.0,15,1.0,0.0,Manchester City
Jahmai Simpson-Pusey,ENG,DF,0.0,0.0,2,1.0,0.0,Manchester City
Rodri,ESP,MF,0.0,0.0,3,0.0,0.0,Manchester City
Divin Mubama,ENG,FW,0.0,0.0,1,0.0,0.0,Manchester City
Oscar Bobb,NOR,FW,0.0,0.0,3,0.0,0.0,Manchester City
Claudio Echeverri,ARG,FW,0.0,0.0,1,0.0,0.0,Manchester City
Vitor Reis,BRA,DF,0.0,0.0,1,0.0,0.0,Manchester City
Max Alleyne,ENG,DF,0.0,0.0,0,0.0,0.0,Manchester City
Thorsten Brits,ENG,GK,0.0,0.0,0,0.0,0.0,Manchester City
Scott Carson,ENG,GK,0.0,0.0,0,0.0,0.0,Manchester City
Issa Kaboré,BFA,"DF,MF",0.0,0.0,0,0.0,0.0,Manchester City
Josh Wilson-Esbrand,ENG,DF,0.0,0.0,0,0.0,0.0,Manchester City
Jacob Wright,ENG,MF,0.0,0.0,0,0.0,0.0,Manchester City
Bruno Fernandes,POR,MF,8.0,10.0,36,5.0,2.0,Manchester Utd
André Onana,CMR,GK,0.0,0.0,34,0.0,0.0,Manchester Utd
Noussair Mazraoui,MAR,DF,0.0,1.0,37,3.0,0.0,Manchester Utd
Diogo Dalot,POR,DF,0.0,3.0,33,5.0,0.0,Manchester Utd
Matthijs de Ligt,NED,DF,2.0,0.0,29,3.0,0.0,Manchester Utd
Alejandro Garnacho,ARG,"MF,FW",6.0,2.0,36,3.0,0.0,Manchester Utd
Rasmus Højlund,DEN,FW,4.0,0.0,32,2.0,0.0,Manchester Utd
Manuel Ugarte,URU,MF,1.0,2.0,29,11.0,0.0,Manchester Utd
Amad Diallo,CIV,"MF,FW",8.0,6.0,26,5.0,0.0,Manchester Utd
Lisandro Martínez,ARG,DF,2.0,1.0,20,7.0,0.0,Manchester Utd
Harry Maguire,ENG,DF,1.0,0.0,27,7.0,0.0,Manchester Utd
Kobbie Mainoo,ENG,MF,0.0,0.0,25,5.0,0.0,Manchester Utd
Casemiro,BRA,MF,1.0,0.0,24,5.0,0.0,Manchester Utd
Joshua Zirkzee,NED,"FW,MF",3.0,1.0,32,2.0,0.0,Manchester Utd
Leny Yoro,FRA,DF,0.0,0.0,21,5.0,0.0,Manchester Utd
Marcus Rashford,ENG,"FW,MF",4.0,1.0,15,2.0,0.0,Manchester Utd
Christian Eriksen,DEN,MF,1.0,2.0,23,4.0,0.0,Manchester Utd
Patrick Dorgu,DEN,DF,0.0,0.0,12,3.0,1.0,Manchester Utd
Mason Mount,ENG,MF,1.0,0.0,17,3.0,0.0,Manchester Utd
Victor Lindelöf,SWE,DF,0.0,0.0,16,1.0,0.0,Manchester Utd
Altay Bayındır,TUR,GK,0.0,0.0,4,0.0,0.0,Manchester Utd
Luke Shaw,ENG,DF,0.0,0.0,7,1.0,0.0,Manchester Utd
Harry Amass,ENG,DF,0.0,0.0,5,0.0,0.0,Manchester Utd
Jonny Evans,NIR,DF,0.0,0.0,7,1.0,0.0,Manchester Utd
Ayden Heaven,ENG,DF,0.0,0.0,4,1.0,0.0,Manchester Utd
Tyler Fredricson,ENG,DF,0.0,0.0,2,0.0,0.0,Manchester Utd
Tyrell Malacia,NED,DF,0.0,0.0,3,1.0,0.0,Manchester Utd
Chidozie Obi-Martin,DEN,FW,0.0,0.0,7,1.0,0.0,Manchester Utd
Toby Collyer,ENG,MF,0.0,0.0,6,0.0,0.0,Manchester Utd
Antony,BRA,"DF,MF",0.0,0.0,8,0.0,0.0,Manchester Utd
Scott McTominay,SCO,MF,0.0,0.0,2,0.0,0.0,Manchester Utd
Jayce Fitzgerald,ENG,MF,0.0,0.0,0,0.0,0.0,Manchester Utd
Jack Fletcher,ENG,MF,0.0,0.0,0,0.0,0.0,Manchester Utd
Hubert Graczyk,POL,GK,0.0,0.0,0,0.0,0.0,Manchester Utd
Elyh Harrison,ENG,GK,0.0,0.0,0,0.0,0.0,Manchester Utd
Tom Heaton,ENG,GK,0.0,0.0,0,0.0,0.0,Manchester Utd
Sekou Koné,MLI,MF,0.0,0.0,0,0.0,0.0,Manchester Utd
Godwill Kukonki,ENG,DF,0.0,0.0,0,0.0,0.0,Manchester Utd
Dermot Mee,NIR,GK,0.0,0.0,0,0.0,0.0,Manchester Utd
Jack Moorhouse,ENG,MF,0.0,0.0,0,0.0,0.0,Manchester Utd
Ethan Wheatley,ENG,FW,0.0,0.0,0,0.0,0.0,Manchester Utd
Bruno Guimarães,BRA,MF,5.0,6.0,38,7.0,0.0,Newcastle Utd
Dan Burn,ENG,DF,1.0,1.0,37,11.0,0.0,Newcastle Utd
Alexander Isak,SWE,FW,23.0,6.0,34,1.0,0.0,Newcastle Utd
Fabian Schär,SUI,DF,4.0,0.0,34,9.0,1.0,Newcastle Utd
Valentino Livramento,ENG,DF,0.0,1.0,37,1.0,0.0,Newcastle Utd
Jacob Murphy,ENG,FW,8.0,12.0,35,4.0,0.0,Newcastle Utd
Joelinton,BRA,"MF,FW",4.0,3.0,29,10.0,0.0,Newcastle Utd
Sandro Tonali,ITA,MF,4.0,2.0,36,5.0,0.0,Newcastle Utd
Nick Pope,ENG,GK,0.0,0.0,28,2.0,0.0,Newcastle Utd
Anthony Gordon,ENG,"FW,MF",6.0,5.0,34,2.0,0.0,Newcastle Utd
Lewis Hall,ENG,DF,0.0,4.0,27,3.0,0.0,Newcastle Utd
Harvey Barnes,ENG,FW,9.0,4.0,33,0.0,0.0,Newcastle Utd
Kieran Trippier,ENG,DF,0.0,3.0,25,1.0,0.0,Newcastle Utd
Joe Willock,ENG,"MF,FW",0.0,2.0,32,4.0,0.0,Newcastle Utd
Martin Dúbravka,SVK,GK,0.0,0.0,10,0.0,0.0,Newcastle Utd
Sean Longstaff,ENG,MF,0.0,0.0,25,2.0,0.0,Newcastle Utd
Sven Botman,NED,DF,0.0,0.0,8,1.0,0.0,Newcastle Utd
Lloyd Kelly,ENG,DF,0.0,1.0,10,2.0,0.0,Newcastle Utd
Callum Wilson,ENG,FW,0.0,0.0,18,1.0,0.0,Newcastle Utd
Emil Krafth,SWE,DF,0.0,0.0,12,2.0,0.0,Newcastle Utd
Lewis Miley,ENG,MF,1.0,0.0,14,0.0,0.0,Newcastle Utd
Miguel Almirón,PAR,FW,0.0,0.0,9,0.0,0.0,Newcastle Utd
William Osula,DEN,FW,1.0,0.0,14,0.0,0.0,Newcastle Utd
Matt Targett,ENG,DF,0.0,0.0,2,0.0,0.0,Newcastle Utd
Jamaal Lascelles,ENG,DF,0.0,0.0,0,0.0,0.0,Newcastle Utd
Alex Murphy,IRL,DF,0.0,0.0,0,0.0,0.0,Newcastle Utd
Sean Neave,ENG,FW,0.0,0.0,0,0.0,0.0,Newcastle Utd
John Ruddy,ENG,GK,0.0,0.0,0,0.0,0.0,Newcastle Utd
Leo Shahar,ENG,DF,0.0,0.0,0,0.0,0.0,Newcastle Utd
Odysseas Vlachodimos,GRE,GK,0.0,0.0,0,0.0,0.0,Newcastle Utd
Matz Sels,BEL,GK,0.0,0.0,38,4.0,0.0,Nott'ham Forest
Nikola Milenković,SRB,DF,5.0,2.0,37,4.0,0.0,Nott'ham Forest
Murillo,BRA,DF,2.0,0.0,36,6.0,0.0,Nott'ham Forest
Ola Aina,NGA,DF,2.0,1.0,35,5.0,0.0,Nott'ham Forest
Chris Wood,NZL,FW,20.0,3.0,36,1.0,0.0,Nott'ham Forest
Morgan Gibbs-White,ENG,MF,7.0,8.0,34,11.0,1.0,Nott'ham Forest
Elliot Anderson,ENG,MF,2.0,6.0,37,10.0,0.0,Nott'ham Forest
Anthony Elanga,SWE,"FW,MF",6.0,11.0,38,1.0,0.0,Nott'ham Forest
Neco Williams,WAL,DF,1.0,3.0,35,7.0,0.0,Nott'ham Forest
Callum Hudson-Odoi,ENG,"FW,MF",5.0,2.0,31,2.0,0.0,Nott'ham Forest
Nicolás Domínguez,ARG,"MF,FW",0.0,1.0,34,9.0,0.0,Nott'ham Forest
Ryan Yates,ENG,MF,2.0,1.0,35,10.0,0.0,Nott'ham Forest
Álex Moreno,ESP,"DF,MF",0.0,1.0,15,2.0,0.0,Nott'ham Forest
Ibrahim Sangaré,CIV,MF,0.0,1.0,13,3.0,0.0,Nott'ham Forest
Morato,BRA,DF,0.0,0.0,26,5.0,0.0,Nott'ham Forest
Jota Silva,POR,"FW,MF",3.0,1.0,31,5.0,0.0,Nott'ham Forest
James Ward-Prowse,ENG,MF,0.0,1.0,9,2.0,1.0,Nott'ham Forest
Danilo,BRA,"MF,FW",0.0,0.0,8,0.0,0.0,Nott'ham Forest
Taiwo Awoniyi,NGA,FW,1.0,0.0,26,0.0,0.0,Nott'ham Forest
Ramón Sosa,PAR,"FW,MF",1.0,0.0,19,1.0,0.0,Nott'ham Forest
Willy Boly,CIV,DF,0.0,0.0,6,1.0,0.0,Nott'ham Forest
Harry Toffolo,ENG,DF,0.0,0.0,4,1.0,0.0,Nott'ham Forest
Eric da Silva Moreira,GER,"MF,DF",0.0,0.0,2,0.0,0.0,Nott'ham Forest
Zach Abbott,ENG,DF,0.0,0.0,0,0.0,0.0,Nott'ham Forest
Wayne Hennessey,WAL,GK,0.0,0.0,0,0.0,0.0,Nott'ham Forest
Carlos Miguel,BRA,GK,0.0,0.0,0,0.0,0.0,Nott'ham Forest
Andrew Omobamidele,IRL,DF,0.0,0.0,0,0.0,0.0,Nott'ham Forest
Mateus Fernandes,POR,MF,2.0,4.0,36,8.0,0.0,Southampton
Kyle Walker-Peters,ENG,DF,0.0,2.0,33,5.0,0.0,Southampton
Taylor Harwood-Bellis,ENG,DF,1.0,0.0,34,9.0,0.0,Southampton
Aaron Ramsdale,ENG,GK,0.0,0.0,30,2.0,0.0,Southampton
Jan Bednarek,POL,DF,2.0,0.0,30,7.0,0.0,Southampton
Flynn Downes,ENG,MF,1.0,0.0,27,12.0,0.0,Southampton
Joe Aribo,NGA,"MF,DF",3.0,0.0,32,1.0,0.0,Southampton
Tyler Dibling,ENG,"FW,MF",2.0,0.0,33,6.0,0.0,Southampton
Lesley Ugochukwu,FRA,MF,1.0,1.0,26,7.0,0.0,Southampton
Ryan Manning,IRL,"DF,MF",0.0,1.0,24,2.0,0.0,Southampton
Kamaldeen Sulemana,GHA,"FW,MF",1.0,1.0,26,2.0,0.0,Southampton
Jack Stephens,ENG,DF,1.0,0.0,19,2.0,2.0,Southampton
Yukinari Sugawara,JPN,"DF,MF",1.0,1.0,30,4.0,0.0,Southampton
Adam Armstrong,ENG,"FW,MF",2.0,2.0,20,4.0,0.0,Southampton
Cameron Archer,ENG,FW,2.0,0.0,35,0.0,0.0,Southampton
James Bree,ENG,DF,0.0,1.0,17,0.0,0.0,Southampton
Paul Onuachu,NGA,FW,4.0,1.0,25,4.0,0.0,Southampton
Nathan Wood-Gordon,ENG,DF,0.0,0.0,11,2.0,0.0,Southampton
William Smallbone,IRL,MF,1.0,0.0,18,1.0,0.0,Southampton
Welington,BRA,DF,0.0,0.0,10,1.0,0.0,Southampton
Alex McCarthy,ENG,GK,0.0,0.0,5,0.0,0.0,Southampton
Adam Lallana,ENG,MF,0.0,2.0,14,4.0,0.0,Southampton
Ben Brereton,CHI,FW,0.0,0.0,10,1.0,0.0,Southampton
Ross Stewart,SCO,FW,1.0,0.0,12,1.0,0.0,Southampton
Ryan Fraser,SCO,"FW,DF",0.0,0.0,8,0.0,1.0,Southampton
Charlie Taylor,ENG,DF,0.0,0.0,8,1.0,0.0,Southampton
Joe Lumley,ENG,GK,0.0,0.0,3,0.0,0.0,Southampton
Armel Bella Kotchap,GER,DF,0.0,0.0,4,0.0,0.0,Southampton
Albert Grønbaek,DEN,"FW,MF",0.0,0.0,4,0.0,0.0,Southampton
Jay Robinson,ENG,"MF,FW",0.0,0.0,4,0.0,0.0,Southampton
Maxwel Cornet,CIV,FW,0.0,0.0,2,1.0,0.0,Southampton
Samuel Edozie,ENG,"DF,FW",0.0,0.0,2,1.0,0.0,Southampton
Samuel Amo-Ameyaw,ENG,"FW,DF",0.0,0.0,2,1.0,0.0,Southampton
Joachim Kayi Sanda,FRA,DF,0.0,0.0,2,0.0,0.0,Southampton
Ronnie Edwards,ENG,DF,0.0,0.0,1,0.0,0.0,Southampton
Carlos Alcaraz,ARG,MF,0.0,0.0,1,0.0,0.0,Southampton
Jayden Moore,Inconnu,DF,0.0,0.0,0,0.0,0.0,Southampton
Joe O'Brien-Whitmarsh,IRL,MF,0.0,0.0,0,0.0,0.0,Southampton
Pedro Porro,ESP,DF,2.0,6.0,33,5.0,0.0,Tottenham
Dejan Kulusevski,SWE,"MF,FW",7.0,4.0,32,3.0,0.0,Tottenham
Dominic Solanke,ENG,FW,9.0,3.0,27,0.0,0.0,Tottenham
Brennan Johnson,WAL,FW,11.0,3.0,33,5.0,0.0,Tottenham
Guglielmo Vicario,ITA,GK,0.0,0.0,24,1.0,0.0,Tottenham
Son Heung-min,KOR,FW,7.0,9.0,30,1.0,0.0,Tottenham
Destiny Udogie,ITA,DF,0.0,1.0,25,2.0,0.0,Tottenham
Pape Matar Sarr,SEN,MF,3.0,2.0,36,6.0,0.0,Tottenham
James Maddison,ENG,MF,9.0,7.0,31,6.0,0.0,Tottenham
Rodrigo Bentancur,URU,MF,2.0,0.0,26,9.0,0.0,Tottenham
Djed Spence,ENG,DF,1.0,2.0,25,4.0,1.0,Tottenham
Archie Gray,ENG,"DF,MF",0.0,0.0,28,1.0,0.0,Tottenham
Cristian Romero,ARG,DF,1.0,0.0,18,3.0,0.0,Tottenham
Yves Bissouma,MLI,MF,2.0,0.0,28,7.0,0.0,Tottenham
Ben Davies,WAL,DF,0.0,0.0,17,5.0,0.0,Tottenham
Radu Drăgușin,ROU,DF,0.0,0.0,16,1.0,0.0,Tottenham
Micky van de Ven,NED,DF,0.0,2.0,13,4.0,0.0,Tottenham
Lucas Bergvall,SWE,MF,0.0,1.0,27,3.0,0.0,Tottenham
Mathys Tel,FRA,FW,2.0,1.0,13,2.0,0.0,Tottenham
Wilson Odobert,FRA,"FW,MF",1.0,0.0,16,0.0,0.0,Tottenham
Kevin Danso,AUT,DF,0.0,0.0,10,0.0,0.0,Tottenham
Fraser Forster,ENG,GK,0.0,0.0,7,0.0,0.0,Tottenham
Antonín Kinský,CZE,GK,0.0,0.0,6,0.0,0.0,Tottenham
Timo Werner,GER,"FW,MF",0.0,3.0,18,0.0,0.0,Tottenham
Richarlison,BRA,FW,4.0,1.0,15,2.0,0.0,Tottenham
Mikey Moore,ENG,FW,0.0,1.0,10,0.0,0.0,Tottenham
Sergio Reguilón,ESP,DF,0.0,0.0,4,2.0,0.0,Tottenham
Brandon Austin,ENG,GK,0.0,0.0,1,0.0,0.0,Tottenham
Dane Scarlett,ENG,"FW,MF",0.0,1.0,3,0.0,0.0,Tottenham
Alfie Dorrington,ENG,DF,0.0,0.0,1,0.0,0.0,Tottenham
Will Lankshear,ENG,"FW,MF",0.0,0.0,3,0.0,0.0,Tottenham
Oyindamola Ajayi,ENG,MF,0.0,0.0,0,0.0,0.0,Tottenham
Dante Cassanova,JAM,DF,0.0,0.0,0,0.0,0.0,Tottenham
Alfie Devine,ENG,MF,0.0,0.0,0,0.0,0.0,Tottenham
Malachi Hardy,ENG,DF,0.0,0.0,0,0.0,0.0,Tottenham
Maeson King,ENG,DF,0.0,0.0,0,0.0,0.0,Tottenham
Yang Minhyeok,KOR,MF,0.0,0.0,0,0.0,0.0,Tottenham
Callum Olusesi,ENG,MF,0.0,0.0,0,0.0,0.0,Tottenham
Alfie Whiteman,ENG,GK,0.0,0.0,0,0.0,0.0,Tottenham
Luca Williams Barnett,ENG,FW,0.0,0.0,0,0.0,0.0,Tottenham
Max Kilman,ENG,DF,0.0,1.0,38,5.0,0.0,West Ham
Aaron Wan-Bissaka,COD,DF,2.0,5.0,36,1.0,0.0,West Ham
Jarrod Bowen,ENG,"FW,MF",13.0,8.0,34,1.0,0.0,West Ham
Mohammed Kudus,GHA,"FW,MF",5.0,3.0,32,2.0,1.0,West Ham
Tomáš Souček,CZE,MF,9.0,1.0,35,8.0,0.0,West Ham
Lucas Paquetá,BRA,"MF,FW",4.0,0.0,33,10.0,0.0,West Ham
Emerson Palmieri,ITA,DF,2.0,1.0,31,5.0,0.0,West Ham
Alphonse Areola,FRA,GK,0.0,0.0,26,0.0,0.0,West Ham
Konstantinos Mavropanos,GRE,DF,0.0,0.0,33,6.0,1.0,West Ham
Jean-Clair Todibo,FRA,DF,0.0,0.0,27,3.0,0.0,West Ham
Edson Álvarez,MEX,MF,0.0,1.0,28,9.0,1.0,West Ham
Guido Rodríguez,ARG,MF,0.0,1.0,23,6.0,0.0,West Ham
Carlos Soler,ESP,"MF,FW",1.0,1.0,31,6.0,0.0,West Ham
Łukasz Fabiański,POL,GK,0.0,0.0,14,2.0,0.0,West Ham
James Ward-Prowse,ENG,MF,1.0,1.0,15,2.0,0.0,West Ham
Vladimír Coufal,CZE,DF,0.0,0.0,22,5.0,0.0,West Ham
Michail Antonio,JAM,FW,1.0,1.0,14,1.0,0.0,West Ham
Aaron Cresswell,ENG,DF,0.0,0.0,18,3.0,0.0,West Ham
Crysencio Summerville,NED,"FW,MF",1.0,1.0,19,2.0,0.0,West Ham
Oliver Scarles,ENG,"DF,FW",0.0,0.0,15,1.0,0.0,West Ham
Niclas Füllkrug,GER,FW,3.0,2.0,18,2.0,0.0,West Ham
Danny Ings,ENG,"FW,MF",1.0,2.0,15,0.0,0.0,West Ham
Andy Irving,SCO,MF,0.0,0.0,10,2.0,0.0,West Ham
Evan Ferguson,IRL,FW,0.0,0.0,8,0.0,0.0,West Ham
Luis Guilherme,BRA,"MF,FW",0.0,0.0,12,0.0,0.0,West Ham
Lewis Orford,ENG,MF,0.0,0.0,2,0.0,0.0,West Ham
Kaelan Casey,ENG,DF,0.0,0.0,1,0.0,0.0,West Ham
Wes Foderingham,ENG,GK,0.0,0.0,0,0.0,0.0,West Ham
Ezra Mayers,BRB,DF,0.0,0.0,0,0.0,0.0,West Ham
Rayan Aït-Nouri,ALG,DF,4.0,7.0,37,7.0,1.0,Wolves
João Gomes,BRA,MF,3.0,1.0,36,11.0,1.0,Wolves
Nélson Semedo,POR,DF,0.0,4.0,34,8.0,0.0,Wolves
André,BRA,MF,0.0,0.0,33,7.0,0.0,Wolves
Toti Gomes,POR,DF,0.0,1.0,31,7.0,0.0,Wolves
Jørgen Strand Larsen,NOR,FW,14.0,4.0,35,4.0,0.0,Wolves
José Sá,POR,GK,0.0,0.0,29,2.0,0.0,Wolves
Matheus Cunha,BRA,"MF,FW",15.0,6.0,33,4.0,0.0,Wolves
Matt Doherty,IRL,DF,2.0,1.0,30,6.0,0.0,Wolves
Jean-Ricner Bellegarde,HAI,"MF,FW",2.0,7.0,35,3.0,0.0,Wolves
Santiago Bueno,URU,DF,0.0,0.0,29,2.0,0.0,Wolves
